year,quarter,nation,target_revenue,target_order_count
1998,Q1,FRANCE,1606000000,11000
1998,Q1,GERMANY,1649800000,11300
1998,Q1,JAPAN,1635200000,11200
1998,Q1,UNITED STATES,1781200000,12200
1998,Q2,FRANCE,1613300000,11050
1998,Q2,GERMANY,1657100000,11350
1998,Q2,JAPAN,1642500000,11250
1998,Q2,UNITED STATES,1788500000,12250
1998,Q3,FRANCE,1620600000,11100
1998,Q3,GERMANY,1664400000,11400
1998,Q3,JAPAN,1649800000,11300
1998,Q3,UNITED STATES,1795800000,12300
1998,Q4,FRANCE,1627900000,11150
1998,Q4,GERMANY,1671700000,11450
1998,Q4,JAPAN,1657100000,11350
1998,Q4,UNITED STATES,1803100000,12350
